Source,Sch Dep Date,Aa code,Flt no,Sch dep dt with time,Sch arr dt with time,Sch dep port,Sch arr port,Route,Ac type,Number of fleets,Ac name,Oper type,Reporting group name,Capacity,Loc total fare amount,Loc tax amount,Loc service fee amount,Loc penalty amount,Loc commission amount,Loc surcharge amount,Loc discount amount,Loc xb amount,Loc wb amount,Loc ntbl amount,Loc seat amount,Loc catering amount,Loc pax fare amount,Loc ssr fare amount,Loc other ssr fare amount,Bagg excess count,Weight bagg count,Ntbl count,Seat count,Catering count,Seg authorization,Agency ss,Internet ss,Bsp gds ss,Pax adult count,Pax child count,Pax infant count,Noshow count,Vat divisor,Pad pass count,Rep total fare amount,Rep pax fare amount,Rep tax amount,Rep surcharge amount,Rep service fee amount,Rep penalty amount,Rep commission amount,Rep discount amount,Rep xb amount,Rep wb amount,Rep ntbl amount,Rep seat amount,Rep catering amount,Flt status,Rcat
PAX,6/4/2021,PK,331,6/4/2021 15:15,6/4/2021 16:35,MUX,KHI,MUXKHI,A320-214_8P/161Y,1,AP-BLA,International,Other,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CX,EST
PAX,7/4/2021,PK,308,7/4/2021 16:00,7/4/2021 17:55,KHI,ISB,KHIISB,A320-214_8P/161Y,3,AP-BLW,Domestic,Primary,169,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,9/4/2021,PK,9241,9/4/2021 23:15,10/4/2021 0:20,KHI,DMM,KHIDMM,A320-214_8P/161Y,4,AP-BLV,International,International,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CX,EXP
PAX,9/4/2021,PK,613,9/4/2021 15:10,9/4/2021 16:00,SDT,ISB,SDTISB,ATR42-500_48Y,5,AP-BHH,Domestic,Scheduled Domestic,48,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,8/4/2021,PK,351,8/4/2021 11:30,8/4/2021 13:20,PEW,KHI,PEWKHI,A320-200_8P/162Y,6,AP-BMX,Domestic,Primary,170,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,2/4/2021,PK,309,2/4/2021 19:00,2/4/2021 20:55,ISB,KHI,ISBKHI,A320-214_8P/161Y,3,AP-BLW,Domestic,Primary,169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,2/4/2021,PK,608,2/4/2021 12:55,2/4/2021 14:00,GIL,ISB,GILISB,ATR42-500_48Y,5,AP-BHH,Domestic,Scheduled Domestic,48,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,2/4/2021,PK,5715,2/4/2021 6:50,2/4/2021 11:05,LHE,IST,LHEIST,B777-240ER_35P/294Y,2,AP-BGK,International,International,329,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,10/4/2021,PK,370,10/4/2021 22:00,10/4/2021 23:55,KHI,ISB,KHIISB,A320-214_8P/161Y,1,AP-BLA,Domestic,Primary,169,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,7/4/2021,TK,715,7/4/2021 6:50,7/4/2021 11:05,LHE,IST,LHEIST,-,-,-,International,-,0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
