AC_REG,Year,Quarter,Month,Day,ENTRY_DATE,Year,Quarter,Month,Day,FLT_NO,Year,Quarter,Month,Day,IN_HRS,IN_MNT,LNDGS,Year,Quarter,Month,Day,OFF_HRS,OFF_MNT,Year,Quarter,Month,Day,ON_HRS,ON_MNT,OPS_CODE,OPS_DATE,Year,Quarter,Month,Day,OUT_HRS,OUT_MNT,STN_FROM,STN_TO,TYPE_CODE,USER_ID
ALW,1899,Qtr 4,December,31,20020110,1899,Qtr 4,December,31,513,1899,Qtr 4,December,31,10,25,1,1899,Qtr 4,December,31,8,57,1899,Qtr 4,December,31,10,20,REV,20020110,1899,Qtr 4,December,31,8,45,KHI,TUK,D,DL04
ALW,1899,Qtr 4,December,31,20020103,1899,Qtr 4,December,31,513,1899,Qtr 4,December,31,10,25,1,1899,Qtr 4,December,31,8,55,1899,Qtr 4,December,31,10,20,REV,20020103,1899,Qtr 4,December,31,8,45,KHI,TUK,D,DL49
ALW,1899,Qtr 4,December,31,20020110,1899,Qtr 4,December,31,513,1899,Qtr 4,December,31,11,25,1,1899,Qtr 4,December,31,10,50,1899,Qtr 4,December,31,11,20,REV,20020110,1899,Qtr 4,December,31,10,45,TUK,GWD,D,DL04
ALW,1899,Qtr 4,December,31,20020103,1899,Qtr 4,December,31,513,1899,Qtr 4,December,31,11,20,1,1899,Qtr 4,December,31,10,50,1899,Qtr 4,December,31,11,15,REV,20020103,1899,Qtr 4,December,31,10,40,TUK,GWD,D,DL49
ALW,1899,Qtr 4,December,31,20020110,1899,Qtr 4,December,31,514,1899,Qtr 4,December,31,13,15,1,1899,Qtr 4,December,31,11,49,1899,Qtr 4,December,31,13,5,REV,20020110,1899,Qtr 4,December,31,11,40,GWD,KHI,D,DL04
ALW,1899,Qtr 4,December,31,20020103,1899,Qtr 4,December,31,514,1899,Qtr 4,December,31,13,30,1,1899,Qtr 4,December,31,11,50,1899,Qtr 4,December,31,13,25,REV,20020103,1899,Qtr 4,December,31,11,40,GWD,KHI,D,DL49
ALW,1899,Qtr 4,December,31,20020101,1899,Qtr 4,December,31,519,1899,Qtr 4,December,31,10,19,1,1899,Qtr 4,December,31,8,53,1899,Qtr 4,December,31,10,19,REV,20020101,1899,Qtr 4,December,31,8,42,KHI,PJG,D,DL04
ALW,1899,Qtr 4,December,31,20020101,1899,Qtr 4,December,31,520,1899,Qtr 4,December,31,12,9,1,1899,Qtr 4,December,31,10,49,1899,Qtr 4,December,31,12,5,REV,20020101,1899,Qtr 4,December,31,10,39,PJG,KHI,D,DL04
ALW,1899,Qtr 4,December,31,20020101,1899,Qtr 4,December,31,559,1899,Qtr 4,December,31,4,14,1,1899,Qtr 4,December,31,2,45,1899,Qtr 4,December,31,4,10,REV,20020101,1899,Qtr 4,December,31,2,30,KHI,TUK,D,DL04
ALW,1899,Qtr 4,December,31,20020101,1899,Qtr 4,December,31,560,1899,Qtr 4,December,31,6,10,1,1899,Qtr 4,December,31,4,45,1899,Qtr 4,December,31,6,5,REV,20020101,1899,Qtr 4,December,31,4,35,TUK,KHI,D,DL04
ALW,1899,Qtr 4,December,31,20020110,1899,Qtr 4,December,31,586,1899,Qtr 4,December,31,6,15,1,1899,Qtr 4,December,31,5,3,1899,Qtr 4,December,31,6,9,REV,20020110,1899,Qtr 4,December,31,4,55,KHI,MJD,D,DL04
ALW,1899,Qtr 4,December,31,20020110,1899,Qtr 4,December,31,587,1899,Qtr 4,December,31,7,55,1,1899,Qtr 4,December,31,6,40,1899,Qtr 4,December,31,7,49,REV,20020110,1899,Qtr 4,December,31,6,35,MJD,KHI,D,DL04
